Feature Name,Alpha = 75.000000,Alpha = 100.000000,Alpha = 200.000000,Alpha = 300.000000
BedroomAbvGr_5,-15750.433668051217,-14505.2301647964,-9482.502463298728,-2768.222526426455
BedroomAbvGr_6,-0.0,-0.0,-0.0,-0.0
TotRmsAbvGrd_3,0.0,0.0,0.0,0.0
TotRmsAbvGrd_4,1811.7138208167537,1211.1433058025848,0.0,0.0
TotRmsAbvGrd_5,-0.0,-0.0,0.0,0.0
TotRmsAbvGrd_6,-0.0,-0.0,-0.0,-0.0
TotRmsAbvGrd_7,-696.5803413233299,-653.4389083431014,-791.1083167503131,-720.7950715527053
TotRmsAbvGrd_8,-1575.5815817638472,-1523.431013391625,-1499.6147774679553,-1330.7058519754785
TotRmsAbvGrd_9,-1551.0695755181298,-942.5613542074694,-0.0,-0.0
TotRmsAbvGrd_10,5669.840582706729,4935.932020174504,2501.155632437679,0.0
TotRmsAbvGrd_11,0.0,0.0,0.0,0.0
TotRmsAbvGrd_12,2011.9773331052097,0.0,0.0,0.0
KitchenAbvGr_0,0.0,0.0,0.0,0.0
KitchenAbvGr_1,14068.811380282517,13247.358978215025,13746.037035810725,13692.83971166724
KitchenAbvGr_2,-0.0,-0.0,-0.0,-0.0
HalfBath_0,-0.0,-0.0,-0.0,-0.0
HalfBath_1,4192.183539587132,4108.747673077241,4641.025033779718,4927.808711234434
HalfBath_2,-0.0,-0.0,-0.0,-0.0
Fireplaces_0,-1214.8644321809463,-1645.7288162959294,-1579.8033476659584,-1279.9528334982401
Fireplaces_1,0.0,0.0,0.0,0.0
Fireplaces_2,4262.7362480588135,3868.772318091983,2826.825258823419,1516.3581890181852
Fireplaces_3,-0.0,-0.0,-0.0,-0.0
