Feature Name,Alpha = 100.000000,Alpha = 200.000000,Alpha = 300.000000
GarageYrBlt_1995.0,656.8075369279861,0.0,0.0
GarageYrBlt_1996.0,0.0,0.0,0.0
GarageYrBlt_1997.0,0.0,0.0,0.0
GarageYrBlt_1998.0,-0.0,-0.0,-0.0
GarageYrBlt_1999.0,-0.0,-0.0,-0.0
GarageYrBlt_2000.0,0.0,0.0,0.0
GarageYrBlt_2001.0,0.0,0.0,0.0
GarageYrBlt_2002.0,0.0,-0.0,-0.0
GarageYrBlt_2003.0,-0.0,-0.0,-0.0
GarageYrBlt_2004.0,-0.0,-0.0,-0.0
GarageYrBlt_2005.0,0.0,0.0,0.0
GarageYrBlt_2006.0,0.0,0.0,0.0
GarageYrBlt_2007.0,-6715.532815863186,-3537.4827376817707,-0.0
GarageYrBlt_2008.0,7419.97893759898,1908.3695599047735,0.0
GarageYrBlt_2009.0,10022.063661030435,3465.824143412823,0.0
GarageYrBlt_2010.0,0.0,0.0,0.0
GarageYrBlt_None,5.12143056033479,0.0,0.0
GarageFinish_Fin,-0.0,0.0,0.0
GarageFinish_None,1.027235488746633e-11,0.0,0.0
GarageFinish_RFn,-2435.0836565214718,-1740.6999367115702,-1069.2631160185072
GarageFinish_Unf,0.0,0.0,-0.0
GarageQual_Ex,0.0,0.0,0.0
GarageQual_Fa,-2964.3404276363026,-0.0,-0.0
GarageQual_Gd,0.0,0.0,0.0
GarageQual_None,7.252332745381205,0.0,0.0
GarageQual_Po,-0.0,-0.0,-0.0
GarageQual_TA,-947.4853534143549,-0.0,-0.0
GarageCond_Ex,0.0,0.0,0.0
GarageCond_Fa,-0.0,-0.0,-0.0
GarageCond_Gd,-0.0,-0.0,-0.0
GarageCond_None,1713.1701963694982,0.0,0.0
GarageCond_Po,-0.0,-0.0,-0.0
GarageCond_TA,0.0,-0.0,-0.0
PavedDrive_N,0.0,0.0,-0.0
PavedDrive_P,-0.0,-0.0,-0.0
PavedDrive_Y,0.0,0.0,0.0
PoolQC_Ex,0.0,0.0,0.0
PoolQC_Fa,-0.0,-0.0,-0.0
PoolQC_Gd,-0.0,-0.0,0.0
PoolQC_None,-0.0,-0.0,-0.0
Fence_GdPrv,-3099.890890059442,-407.77095367523776,-0.0
Fence_GdWo,0.0,0.0,0.0
Fence_MnPrv,933.6848875325019,46.84388505651854,0.0
Fence_MnWw,-0.0,-0.0,-0.0
Fence_None,0.0,0.0,0.0
MiscFeature_Gar2,-0.0,-0.0,-0.0
MiscFeature_None,0.0,0.0,0.0
MiscFeature_Othr,0.0,0.0,0.0
MiscFeature_Shed,-0.0,-0.0,-0.0
MiscFeature_TenC,-0.0,-0.0,-0.0
MoSold_1,1969.4989537907165,0.0,0.0
MoSold_10,-299.76471766656664,-0.0,-0.0
MoSold_11,-0.0,-0.0,-0.0
MoSold_12,0.0,0.0,0.0
MoSold_2,-0.0,-0.0,-0.0
MoSold_3,-0.0,-0.0,-0.0
MoSold_4,0.0,-0.0,-0.0
MoSold_5,3026.603610616173,2287.7292846625633,1295.7645033010365
MoSold_6,0.0,0.0,0.0
MoSold_7,2868.392955094563,3125.015390715594,2806.6488438008178
MoSold_8,-1449.1966139612175,-253.10438049484085,-0.0
MoSold_9,-0.0,-0.0,-0.0
YrSold_2006,-0.0,-0.0,-0.0
YrSold_2007,284.2390288348018,0.0,0.0
YrSold_2008,0.0,0.0,0.0
YrSold_2009,-1878.2388380086202,-1378.4547938058586,-843.1626223160639
YrSold_2010,0.0,0.0,0.0
SaleType_COD,-0.0,-0.0,-0.0
SaleType_CWD,0.0,0.0,0.0
SaleType_Con,0.0,0.0,0.0
SaleType_ConLD,0.0,-0.0,-0.0
SaleType_ConLI,-0.0,0.0,-0.0
SaleType_ConLw,0.0,0.0,0.0
SaleType_New,14814.97739370186,14246.852793231254,13480.001396395237
SaleType_Oth,0.0,0.0,0.0
SaleType_WD,-1647.36266844439,-0.0,-0.0
SaleCondition_Abnorml,-5970.792104305042,-7389.864615227809,-6262.524421108645
SaleCondition_AdjLand,0.0,0.0,0.0
SaleCondition_Alloca,-0.0,-0.0,-0.0
SaleCondition_Family,-0.0,-0.0,-0.0
SaleCondition_Normal,2037.450162863707,0.0,0.0
SaleCondition_Partial,0.0,0.0,0.0
