,VehicleID,FinancialYear,VehicleType,Manufacturer,ConditionScore,Year,ManufacturerAndVehicleType
13686,16151,2009-10,Heavy Goods Vehicle,Mercedes Benz,50,2009,Heavy Goods Vehicle Mercedes Benz
13687,16152,2006-07,Light Goods Vehicle,Mercedes Benz,70,2006,Light Goods Vehicle Mercedes Benz
13688,16153,2004-05,Light Goods Vehicle,Mercedes Benz,30,2004,Light Goods Vehicle Mercedes Benz
13689,16153,2010-11,Light Goods Vehicle,Mercedes Benz,30,2010,Light Goods Vehicle Mercedes Benz
13690,16154,2006-07,Heavy Goods Vehicle,Volvo,70,2006,Heavy Goods Vehicle Volvo
13691,16157,2009-10,Personnel Vehicle,Fiat,60,2009,Personnel Vehicle Fiat
13692,16157,2011-12,Personnel Vehicle,Fiat,75,2011,Personnel Vehicle Fiat
13693,16158,2005-06,Heavy Goods Vehicle,Fiat,30,2005,Heavy Goods Vehicle Fiat
13694,16158,2011-12,Heavy Goods Vehicle,Fiat,30,2011,Heavy Goods Vehicle Fiat
13695,16160,2004-05,Personnel Vehicle,Volvo,80,2004,Personnel Vehicle Volvo
13696,16161,2004-05,Heavy Goods Vehicle,Volvo,0,2004,Heavy Goods Vehicle Volvo
13697,16161,2010-11,Heavy Goods Vehicle,Volvo,15,2010,Heavy Goods Vehicle Volvo
13698,16162,2006-07,Light Goods Vehicle,Volvo,55,2006,Light Goods Vehicle Volvo
13699,16162,2009-10,Light Goods Vehicle,Volvo,60,2009,Light Goods Vehicle Volvo
13700,16163,2002-03,Personnel Vehicle,Volvo,45,2002,Personnel Vehicle Volvo
13701,16163,2008-09,Personnel Vehicle,Volvo,40,2008,Personnel Vehicle Volvo
13702,16163,2011-12,Personnel Vehicle,Volvo,10,2011,Personnel Vehicle Volvo
13703,16164,2002-03,Heavy Goods Vehicle,Mercedes Benz,70,2002,Heavy Goods Vehicle Mercedes Benz
13704,16164,2008-09,Heavy Goods Vehicle,Mercedes Benz,0,2008,Heavy Goods Vehicle Mercedes Benz
13705,16165,2006-07,Light Goods Vehicle,Mercedes Benz,60,2006,Light Goods Vehicle Mercedes Benz
13706,16166,2004-05,Light Goods Vehicle,Mercedes Benz,85,2004,Light Goods Vehicle Mercedes Benz
13707,16166,2010-11,Light Goods Vehicle,Mercedes Benz,85,2010,Light Goods Vehicle Mercedes Benz
13708,16168,2003-04,Heavy Goods Vehicle,Mercedes Benz,5,2003,Heavy Goods Vehicle Mercedes Benz
13709,16168,2009-10,Heavy Goods Vehicle,Mercedes Benz,0,2009,Heavy Goods Vehicle Mercedes Benz
13710,16169,2001-02,Light Goods Vehicle,Mercedes Benz,55,2001,Light Goods Vehicle Mercedes Benz
13711,16169,2008-09,Light Goods Vehicle,Mercedes Benz,55,2008,Light Goods Vehicle Mercedes Benz
13712,16170,2003-04,Light Goods Vehicle,Mercedes Benz,48,2003,Light Goods Vehicle Mercedes Benz
13713,16170,2009-10,Light Goods Vehicle,Mercedes Benz,50,2009,Light Goods Vehicle Mercedes Benz
13714,16173,2009-10,Light Goods Vehicle,Fiat,35,2009,Light Goods Vehicle Fiat
13715,16174,2004-05,Personnel Vehicle,Fiat,60,2004,Personnel Vehicle Fiat
13716,16174,2010-11,Personnel Vehicle,Fiat,60,2010,Personnel Vehicle Fiat
13717,16175,2006-07,Light Goods Vehicle,Volvo,45,2006,Light Goods Vehicle Volvo
13718,16176,2004-05,Heavy Goods Vehicle,Volvo,40,2004,Heavy Goods Vehicle Volvo
13719,16176,2010-11,Heavy Goods Vehicle,Volvo,35,2010,Heavy Goods Vehicle Volvo
13720,16177,2001-02,Light Goods Vehicle,Fiat,30,2001,Light Goods Vehicle Fiat
13721,16177,2011-12,Light Goods Vehicle,Fiat,48,2011,Light Goods Vehicle Fiat
13722,16178,2002-03,Light Goods Vehicle,Volvo,45,2002,Light Goods Vehicle Volvo
13723,16178,2009-10,Light Goods Vehicle,Volvo,50,2009,Light Goods Vehicle Volvo
13724,16179,2003-04,Light Goods Vehicle,Fiat,65,2003,Light Goods Vehicle Fiat
13725,16181,2005-06,Personnel Vehicle,Fiat,20,2005,Personnel Vehicle Fiat
13726,16182,2005-06,Light Goods Vehicle,Fiat,60,2005,Light Goods Vehicle Fiat
13727,16183,2002-03,Light Goods Vehicle,Volvo,20,2002,Light Goods Vehicle Volvo
13728,16183,2006-07,Light Goods Vehicle,Volvo,0,2006,Light Goods Vehicle Volvo
13729,16184,2002-03,Light Goods Vehicle,Fiat,55,2002,Light Goods Vehicle Fiat
13730,16184,2008-09,Light Goods Vehicle,Fiat,55,2008,Light Goods Vehicle Fiat
13731,16185,2004-05,Heavy Goods Vehicle,Volvo,10,2004,Heavy Goods Vehicle Volvo
13732,16185,2010-11,Heavy Goods Vehicle,Volvo,5,2010,Heavy Goods Vehicle Volvo
13733,16187,2003-04,Light Goods Vehicle,Fiat,50,2003,Light Goods Vehicle Fiat
13734,16187,2009-10,Light Goods Vehicle,Fiat,50,2009,Light Goods Vehicle Fiat
13735,16188,2003-04,Light Goods Vehicle,Volvo,40,2003,Light Goods Vehicle Volvo
13736,16189,2002-03,Heavy Goods Vehicle,Mercedes Benz,75,2002,Heavy Goods Vehicle Mercedes Benz
13737,16189,2008-09,Heavy Goods Vehicle,Mercedes Benz,15,2008,Heavy Goods Vehicle Mercedes Benz
13738,16190,2006-07,Personnel Vehicle,Mercedes Benz,100,2006,Personnel Vehicle Mercedes Benz
13739,16191,2005-06,Light Goods Vehicle,Mercedes Benz,70,2005,Light Goods Vehicle Mercedes Benz
13740,16191,2011-12,Light Goods Vehicle,Mercedes Benz,70,2011,Light Goods Vehicle Mercedes Benz
13741,16192,2002-03,Light Goods Vehicle,Mercedes Benz,20,2002,Light Goods Vehicle Mercedes Benz
13742,16192,2008-09,Light Goods Vehicle,Mercedes Benz,40,2008,Light Goods Vehicle Mercedes Benz
13743,16193,2001-02,Light Goods Vehicle,Mercedes Benz,50,2001,Light Goods Vehicle Mercedes Benz
13744,16193,2008-09,Light Goods Vehicle,Mercedes Benz,70,2008,Light Goods Vehicle Mercedes Benz
13745,16195,2004-05,Personnel Vehicle,Volvo,85,2004,Personnel Vehicle Volvo
