,VehicleID,FinancialYear,VehicleType,Manufacturer,ConditionScore,Year,Month
19487,21069,2006-07,Heavy Goods Vehicle,Mercedes Benz,80,2006,7
19488,21070,2007-08,Light Goods Vehicle,Volvo,40,2007,8
19489,21071,2004-05,Heavy Goods Vehicle,Volvo,15,2004,5
19490,21071,2010-11,Heavy Goods Vehicle,Volvo,15,2010,11
19491,21072,2002-03,Light Goods Vehicle,Volvo,35,2002,3
19492,21072,2008-09,Light Goods Vehicle,Volvo,0,2008,9
19493,21073,2004-05,Light Goods Vehicle,Volvo,20,2004,5
19494,21073,2010-11,Light Goods Vehicle,Volvo,20,2010,11
19495,21074,2001-02,Light Goods Vehicle,Fiat,20,2001,2
19496,21074,2007-08,Light Goods Vehicle,Fiat,0,2007,8
19497,21075,2004-05,Heavy Goods Vehicle,Volvo,15,2004,5
19498,21075,2008-09,Heavy Goods Vehicle,Volvo,15,2008,9
19499,21076,2005-06,Heavy Goods Vehicle,Volvo,80,2005,6
19500,21077,2002-03,Heavy Goods Vehicle,Volvo,65,2002,3
19501,21077,2008-09,Heavy Goods Vehicle,Volvo,65,2008,9
19502,21078,2009-10,Personnel Vehicle,Volvo,50,2009,10
19503,21079,2002-03,Light Goods Vehicle,Volvo,50,2002,3
19504,21079,2008-09,Light Goods Vehicle,Volvo,55,2008,9
19505,21080,2005-06,Personnel Vehicle,Volvo,85,2005,6
19506,21080,2011-12,Personnel Vehicle,Volvo,85,2011,12
19507,21082,2004-05,Heavy Goods Vehicle,Volvo,90,2004,5
19508,21083,2002-03,Heavy Goods Vehicle,Mercedes Benz,5,2002,3
19509,21083,2008-09,Heavy Goods Vehicle,Mercedes Benz,50,2008,9
19510,21083,2011-12,Heavy Goods Vehicle,Mercedes Benz,35,2011,12
19511,21084,2003-04,Light Goods Vehicle,Mercedes Benz,0,2003,4
19512,21084,2009-10,Light Goods Vehicle,Mercedes Benz,0,2009,10
19513,21085,2006-07,Heavy Goods Vehicle,Mercedes Benz,65,2006,7
19514,21085,2011-12,Heavy Goods Vehicle,Mercedes Benz,65,2011,12
19515,21086,2004-05,Heavy Goods Vehicle,Mercedes Benz,15,2004,5
19516,21086,2010-11,Heavy Goods Vehicle,Mercedes Benz,35,2010,11
19517,21087,2001-02,Personnel Vehicle,Mercedes Benz,65,2001,2
19518,21087,2007-08,Personnel Vehicle,Mercedes Benz,75,2007,8
19519,21088,2008-09,Heavy Goods Vehicle,Mercedes Benz,65,2008,9
19520,21089,2011-12,Heavy Goods Vehicle,Mercedes Benz,100,2011,12
19521,21090,2003-04,Heavy Goods Vehicle,Mercedes Benz,30,2003,4
19522,21090,2009-10,Heavy Goods Vehicle,Mercedes Benz,60,2009,10
19523,21091,2006-07,Light Goods Vehicle,Mercedes Benz,58,2006,7
19524,21092,2002-03,Heavy Goods Vehicle,Mercedes Benz,65,2002,3
19525,21092,2007-08,Heavy Goods Vehicle,Mercedes Benz,60,2007,8
19526,21093,2002-03,Heavy Goods Vehicle,Mercedes Benz,80,2002,3
19527,21093,2009-10,Heavy Goods Vehicle,Mercedes Benz,75,2009,10
19528,21094,2003-04,Personnel Vehicle,Mercedes Benz,25,2003,4
19529,21094,2009-10,Personnel Vehicle,Mercedes Benz,25,2009,10
19530,21095,2005-06,Personnel Vehicle,Mercedes Benz,55,2005,6
19531,21098,2002-03,Light Goods Vehicle,Mercedes Benz,20,2002,3
19532,21098,2009-10,Light Goods Vehicle,Mercedes Benz,20,2009,10
19533,21099,2004-05,Personnel Vehicle,Mercedes Benz,70,2004,5
19534,21099,2010-11,Personnel Vehicle,Mercedes Benz,70,2010,11
19535,21101,2007-08,Heavy Goods Vehicle,Volvo,30,2007,8
19536,21103,2002-03,Heavy Goods Vehicle,Volvo,80,2002,3
19537,21103,2011-12,Heavy Goods Vehicle,Volvo,65,2011,12
19538,21104,2007-08,Light Goods Vehicle,Fiat,30,2007,8
19539,21105,2006-07,Light Goods Vehicle,Volvo,45,2006,7
19540,21106,2004-05,Light Goods Vehicle,Volvo,50,2004,5
19541,21107,2002-03,Heavy Goods Vehicle,Volvo,80,2002,3
19542,21107,2008-09,Heavy Goods Vehicle,Volvo,65,2008,9
19543,21109,2005-06,Heavy Goods Vehicle,Volvo,50,2005,6
19544,21109,2011-12,Heavy Goods Vehicle,Volvo,50,2011,12
19545,21110,2002-03,Heavy Goods Vehicle,Volvo,10,2002,3
19546,21110,2008-09,Heavy Goods Vehicle,Volvo,10,2008,9
19547,21110,2011-12,Heavy Goods Vehicle,Volvo,100,2011,12
19548,21111,2005-06,Light Goods Vehicle,Fiat,35,2005,6
19549,21112,2002-03,Light Goods Vehicle,Volvo,20,2002,3
19550,21113,2003-04,Light Goods Vehicle,Mercedes Benz,40,2003,4
19551,21113,2010-11,Light Goods Vehicle,Mercedes Benz,55,2010,11
19552,21114,2004-05,Heavy Goods Vehicle,Mercedes Benz,50,2004,5
19553,21115,2006-07,Heavy Goods Vehicle,Mercedes Benz,65,2006,7
19554,21116,2004-05,Heavy Goods Vehicle,Mercedes Benz,50,2004,5
19555,21116,2010-11,Heavy Goods Vehicle,Mercedes Benz,50,2010,11
19556,21117,2011-12,Light Goods Vehicle,Volvo,55,2011,12
19557,21118,2005-06,Personnel Vehicle,Volvo,70,2005,6
19558,21119,2001-02,Light Goods Vehicle,Volvo,60,2001,2
19559,21120,2005-06,Heavy Goods Vehicle,Fiat,60,2005,6
19560,21120,2011-12,Heavy Goods Vehicle,Fiat,30,2011,12
19561,21121,2004-05,Heavy Goods Vehicle,Volvo,50,2004,5
19562,21121,2010-11,Heavy Goods Vehicle,Volvo,50,2010,11
19563,21122,2004-05,Heavy Goods Vehicle,Volvo,60,2004,5
19564,21123,2006-07,Light Goods Vehicle,Volvo,48,2006,7
19565,21124,2000-01,Personnel Vehicle,Fiat,100,2000,1
